frame_id,object_id,class_id,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,feet_x,feet_y,team_id,has_possession,ball_x,ball_y,ball_interpolated,vx_px,vy_px,speed_px_f,speed_km_h
170,10,2,0.3557,776.6,148.8,795.5,178.6,786.0,178.6,0,0,,,,-1.5,0.0,1.5,13.5
171,7,2,0.8804,382.8,153.6,408.6,183.4,395.7,183.4,0,0,,,,0.0,0.3,0.3,2.7
171,6,2,0.849,618.6,132.9,643.5,161.3,631.0,161.3,0,0,,,,-0.3,0.5,0.583,5.25
171,5,2,0.7147,844.6,167.7,873.3,198.0,858.9,198.0,0,0,,,,-0.7,0.8,1.063,9.57
171,17,2,0.6506,595.6,131.3,603.0,159.9,599.3,159.9,0,0,,,,-0.3,0.7,0.762,6.85
172,7,2,0.8728,383.2,154.8,408.8,184.6,396.0,184.6,0,0,,,,0.3,1.2,1.237,11.13
172,6,2,0.8679,618.1,133.4,643.3,161.9,630.7,161.9,0,0,,,,-0.3,0.6,0.671,6.04
172,5,2,0.6912,843.8,167.6,871.7,198.0,857.7,198.0,0,0,,,,-1.2,0.0,1.2,10.8
172,11,2,0.4425,560.6,133.7,580.2,162.3,570.4,162.3,0,0,,,,-0.367,0.5,0.62,1.86
173,6,2,0.8579,617.9,134.3,642.5,162.3,630.2,162.3,0,0,,,,-0.5,0.4,0.64,5.76
173,7,2,0.8576,383.7,155.5,408.7,185.0,396.2,185.0,0,0,,,,0.2,0.4,0.447,4.02
173,5,2,0.633,842.7,168.0,870.4,197.4,856.5,197.4,0,0,,,,-1.2,-0.6,1.342,12.07
173,11,2,0.5995,560.5,134.3,579.8,163.2,570.2,163.2,0,0,,,,-0.2,0.9,0.922,8.3
174,6,2,0.8767,617.3,134.8,642.4,163.3,629.8,163.3,0,0,,,,-0.4,1.0,1.077,9.69
174,7,2,0.8158,383.8,156.0,408.5,185.6,396.1,185.6,0,0,,,,-0.1,0.6,0.608,5.47
174,5,2,0.7533,841.9,168.6,868.3,198.6,855.1,198.6,0,0,,,,-1.4,1.2,1.844,16.6
174,10,2,0.4814,773.5,150.1,791.4,178.9,782.5,178.9,0,0,,,,-0.875,0.075,0.878,1.98
174,11,2,0.4524,560.1,134.8,579.2,163.6,569.7,163.6,0,0,,,,-0.5,0.4,0.64,5.76
175,6,2,0.8745,616.3,135.0,641.4,163.1,628.9,163.1,0,0,,,,-0.9,-0.2,0.922,8.3
175,5,2,0.837,840.6,169.1,866.1,199.0,853.3,199.0,0,0,,,,-1.8,0.4,1.844,16.6
175,7,2,0.7978,383.4,155.9,407.7,185.8,395.6,185.8,0,0,,,,-0.5,0.2,0.539,4.85
175,10,2,0.715,771.5,150.1,789.6,179.4,780.5,179.4,0,0,,,,-2.0,0.5,2.062,18.55
176,6,2,0.8668,616.1,135.0,641.2,163.1,628.6,163.1,0,0,,,,-0.3,0.0,0.3,2.7
176,5,2,0.8466,840.4,169.1,866.2,198.9,853.3,198.9,0,0,,,,0.0,-0.1,0.1,0.9
176,7,2,0.8114,383.0,155.8,407.3,185.9,395.2,185.9,0,0,,,,-0.4,0.1,0.412,3.71
176,10,2,0.7303,771.0,149.9,789.5,179.8,780.3,179.8,0,0,,,,-0.2,0.4,0.447,4.02
176,11,2,0.4691,559.4,135.2,578.1,163.5,568.7,163.5,0,0,,,,-0.5,-0.05,0.502,2.26
177,6,2,0.8692,615.9,134.8,640.9,163.1,628.4,163.1,0,0,,,,-0.2,0.0,0.2,1.8
177,5,2,0.8526,840.3,168.9,867.5,198.7,853.9,198.7,0,0,,,,0.6,-0.2,0.632,5.69
177,7,2,0.7988,382.8,155.5,407.1,185.6,394.9,185.6,0,0,,,,-0.3,-0.3,0.424,3.82
177,10,2,0.64,771.0,149.8,789.4,179.6,780.2,179.6,0,0,,,,-0.1,-0.2,0.224,2.01
177,11,2,0.5254,558.8,135.1,578.0,163.3,568.4,163.3,0,0,,,,-0.3,-0.2,0.361,3.24
178,6,2,0.8471,615.8,134.6,640.7,162.6,628.2,162.6,0,0,,,,-0.2,-0.5,0.539,4.85
178,5,2,0.8448,839.9,168.5,867.2,197.4,853.6,197.4,0,0,,,,-0.3,-1.3,1.334,12.01
178,7,2,0.7993,382.2,155.6,406.9,185.6,394.5,185.6,0,0,,,,-0.4,0.0,0.4,3.6
178,11,2,0.6778,558.4,134.7,577.7,163.2,568.1,163.2,0,0,,,,-0.3,-0.1,0.316,2.85
178,10,2,0.5124,771.2,149.7,789.0,179.4,780.1,179.4,0,0,,,,-0.1,-0.2,0.224,2.01
179,5,2,0.8481,839.7,168.1,867.5,197.1,853.6,197.1,0,0,,,,0.0,-0.3,0.3,2.7
179,7,2,0.8398,382.1,155.4,406.4,184.9,394.2,184.9,0,0,,,,-0.3,-0.7,0.762,6.85
179,6,2,0.8378,615.2,134.2,640.1,161.8,627.6,161.8,0,0,,,,-0.6,-0.8,1.0,9.0
179,11,2,0.721,557.7,134.3,577.2,163.0,567.4,163.0,0,0,,,,-0.7,-0.2,0.728,6.55
179,10,2,0.3764,770.5,149.6,789.4,179.1,780.0,179.1,0,0,,,,-0.1,-0.3,0.316,2.85
180,7,2,0.8775,381.3,155.0,405.9,184.4,393.6,184.4,0,0,,,,-0.6,-0.5,0.781,7.03
180,6,2,0.8457,614.5,133.6,639.3,161.2,626.9,161.2,0,0,,,,-0.7,-0.6,0.922,8.3
180,11,2,0.8337,557.8,133.7,576.7,162.4,567.2,162.4,0,0,,,,-0.2,-0.6,0.632,5.69
180,5,2,0.7479,838.9,167.9,866.1,197.4,852.5,197.4,0,0,,,,-1.1,0.3,1.14,10.26
181,7,2,0.8777,381.3,155.0,405.9,184.4,393.6,184.4,0,0,,,,0.0,0.0,0.0,0.0
181,6,2,0.8465,614.5,133.6,639.3,161.2,626.9,161.2,0,0,,,,0.0,0.0,0.0,0.0
